5023841;Donepezilo;Donepezilo Generis;Comprimido revestido por película;5 mg;56 unidade(s);50002392
5023833;Donepezilo;Donepezilo Generis;Comprimido revestido por película;5 mg;28 unidade(s);50002376
5327432;Donepezilo;Donepezilo Germed;Comprimido revestido por película;10 mg;28 unidade(s);50002406
5327440;Donepezilo;Donepezilo Germed;Comprimido revestido por película;10 mg;56 unidade(s);50002414
5327416;Donepezilo;Donepezilo Germed;Comprimido revestido por película;5 mg;28 unidade(s);50002376
5327424;Donepezilo;Donepezilo Germed;Comprimido revestido por película;5 mg;56 unidade(s);50002392
5222237;Donepezilo;Donepezilo GP;Comprimido revestido por película;10 mg;28 unidade(s);50002406
5222245;Donepezilo;Donepezilo GP;Comprimido revestido por película;10 mg;56 unidade(s);50002414
5220561;Donepezilo;Donepezilo GP;Comprimido revestido por película;5 mg;28 unidade(s);50002376
5222203;Donepezilo;Donepezilo GP;Comprimido revestido por película;5 mg;56 unidade(s);50002392
5222336;Donepezilo;Donepezilo Jaba;Comprimido revestido por película;10 mg;28 unidade(s);50002406
5222344;Donepezilo;Donepezilo Jaba;Comprimido revestido por película;10 mg;56 unidade(s);50002414
5222302;Donepezilo;Donepezilo Jaba;Comprimido revestido por película;5 mg;56 unidade(s);50002392
5222278;Donepezilo;Donepezilo Jaba;Comprimido revestido por película;5 mg;28 unidade(s);50002376
5367867;Donepezilo;Donepezilo Krka;Comprimido orodispersível;10 mg;28 unidade(s);50043684
5367875;Donepezilo;Donepezilo Krka;Comprimido orodispersível;10 mg;56 unidade(s);50043692
5367842;Donepezilo;Donepezilo Krka;Comprimido orodispersível;5 mg;28 unidade(s);50043650
5367859;Donepezilo;Donepezilo Krka;Comprimido orodispersível;5 mg;56 unidade(s);50043668
5184312;Donepezilo;Donepezilo KRKA;Comprimido revestido por película;10 mg;56 unidade(s);50002414
5121579;Donepezilo;Donepezilo KRKA;Comprimido revestido por película;10 mg;28 unidade(s);50002406
5121512;Donepezilo;Donepezilo KRKA;Comprimido revestido por película;5 mg;28 unidade(s);50002376
5184270;Donepezilo;Donepezilo KRKA;Comprimido revestido por película;5 mg;56 unidade(s);50002392
5024054;Donepezilo;Donepezilo Lixben;Comprimido revestido por película;10 mg;28 unidade(s);50002406
5024062;Donepezilo;Donepezilo Lixben;Comprimido revestido por película;10 mg;56 unidade(s);50002414
5024005;Donepezilo;Donepezilo Lixben;Comprimido revestido por película;5 mg;56 unidade(s);50002392
5023973;Donepezilo;Donepezilo Lixben;Comprimido revestido por película;5 mg;28 unidade(s);50002376
5302153;Donepezilo;Donepezilo Mylan;Comprimido orodispersível;10 mg;56 unidade(s);50043692
5302146;Donepezilo;Donepezilo Mylan;Comprimido orodispersível;10 mg;28 unidade(s);50043684
5302120;Donepezilo;Donepezilo Mylan;Comprimido orodispersível;5 mg;56 unidade(s);50043668
5302112;Donepezilo;Donepezilo Mylan;Comprimido orodispersível;5 mg;28 unidade(s);50043650
