30,CICLORTEN 5 MG 20 CP PREDNISONA EMS.,7896004759838,  -   ,"  0,18 ",,"  3,58 ",20
1031,TERMOMETRO CLI DIG TERMOMED BRANCO ENC. INC.,7896540766918,"  14,31 ","  14,31 ","  14,31 ","  14,31 ",1
2410,BECLONATO SUSP INJ 1 ML SER BETA+FOSFATO NEO.,7896714233499,  -   ,"  4,57 ",,"  4,57 ",1
3085,DELTALAB LOC 100 ML DELTAMETRINA MUL.,7896472500253,"  5,47 ","  5,35 ","  5,47 ","  5,35 ",1
3107,MULTISORO INF 30 ML SORO NASAL MUL.,7896472501694,"  2,27 ","  2,27 ","  2,27 ","  2,27 ",1
3115,MULTISORO AD 30 ML SORO NASAL MUL.,7896472501700,"  1,38 ","  1,37 ","  1,38 ","  1,37 ",1
3158,CAPTOLAB 25 MG 30 CP CAPTOPRIL MUL.,7896472501915,  -   ,  -   ,,,30
3352,OLEO MINERAL 100 ML MUL.,7896472500109,"  5,39 ","  5,57 ","  5,39 ","  5,57 ",1
3450,GRIPALCE 20 CA PARACETAMOL+ASSOC BRA.,7898100242900,"  0,18 ","  0,19 ","  3,52 ","  3,79 ",20
3484,TYFLEN GTS 15 ML PARACETAMOL BRA.,7898100240777,"  1,59 ","  1,60 ","  1,59 ","  1,60 ",1
3719,NEBULIZADOR COMP INALAR NSN.,7896436901812,"  151,26 ","  151,26 ","  151,26 ","  151,26 ",1
3735,KIT DE NEBULIZACAO INF NS.,7896436900150,"  11,03 ","  11,03 ","  11,03 ","  11,03 ",1
3743,KIT DE NEBULIZACAO AD NS.,7896436900167,"  11,03 ","  11,03 ","  11,03 ","  11,03 ",1
4090,GLICEL AD 06 SP GLICERINA BRA.,7898100242955,"  0,96 ","  0,96 ","  5,78 ","  5,78 ",6
4103,GLICEL INF LAC 06 SP GLICERINA BRA.,7898100242948,"  0,96 ","  0,91 ","  5,75 ","  5,45 ",6
4332,CLARILERG 10 MG 12 CP LORATADINA SAN.,7897595602039,  -   ,  -   ,,,12
4367,DIASEC 2 MG 12 CP LOPERAMIDA SAN.,7897595600851,"  0,20 ","  0,20 ","  2,44 ","  2,42 ",12
4375,DICLAC SR 75 MG 20 CP DICLOFENACO DE SODICO SAN.,7897595602022,"  0,74 ","  0,73 ","  14,71 ","  14,54 ",20
4413,KEFLAXINA 250 MG SOL 100 ML CEFALEXINA SAN. (*),7897595601391,  -   ,"  11,48 ",,"  11,48 ",1
4464,"MOVACOX 7,5 MG 10 CP MELOXICAM SAN.",7897595631718,  -   ,  -   ,,,10
4472,MOVACOX 15 MG 10 CP MELOXICAM SAN.,7897595631725,  -   ,  -   ,,,10
4537,SINVASTACOR 10 MG 30 CP SINVASTATINA SAN.,7897595601766,  -   ,"  0,14 ",,"  4,22 ",30
4731,HERPESIL 200 MG 25 CP ACICLOVIR SAN.,7897595602503,"  0,31 ","  0,30 ","  7,80 ","  7,50 ",25
4790,TRILAX 12 CP PARACETAMOL+ASSOC SAN.,7897595601728,"  0,48 ","  0,48 ","  5,71 ","  5,71 ",12
4855,ZIMICINA 500 MG 3 CP AZITROMICINA SAN. (*),7897595601551,"  3,23 ","  3,39 ","  9,70 ","  10,18 ",3
5053,CIPROBIOT 500 MG 14 CP CIPROFLOXACINO SAN. (*),7897595601827,"  0,42 ","  0,42 ","  5,82 ","  5,82 ",14
5177,OCYLIN 500 MG 21 CA AMOXICILINA MUL. (*),7896472502080,"  0,25 ","  0,24 ","  5,20 ","  5,14 ",21
5193,ENAPROTEC 5 MG 30 CP ENALAPRIL SAN.,7897595601469,  -   ,  -   ,,,30
